Unnamed: 0;Provincia;Edad;Ambos_sexos;Hombres;Mujeres
0;Albacete;0;391580;0;0
1;Albacete;0;0;195682;0
2;Albacete;0;0;0;195897
3;Alicante;0;1842616;0;0
4;Alicante;0;0;914851;0
5;Alicante;0;0;0;927765
6;Almeria;0;700046;0;0
7;Almeria;0;0;354125;0
8;Almeria;0;0;0;345921
9;Alava;0;323818;0;0
10;Alava;0;0;159188;0
11;Alava;0;0;0;164631
12;Asturias;0;1034302;0;0
13;Asturias;0;0;494541;0
14;Asturias;0;0;0;539762
15;Avila;0;161757;0;0
16;Avila;0;0;81591;0
17;Avila;0;0;0;80167
18;Badajoz;0;678483;0;0
19;Badajoz;0;0;336230;0
20;Badajoz;0;0;0;342254
21;Balears_Illes;0;1150962;0;0
22;Balears_Illes;0;0;575318;0
23;Balears_Illes;0;0;0;575645
24;Barcelona;0;5474483;0;0
25;Barcelona;0;0;2655756;0
26;Barcelona;0;0;0;2818726
27;Bizkaia;0;1134514;0;0
28;Bizkaia;0;0;545791;0
29;Bizkaia;0;0;0;588723
30;Burgos;0;357627;0;0
31;Burgos;0;0;179538;0
32;Burgos;0;0;0;178089
33;Caceres;0;399042;0;0
34;Caceres;0;0;199263;0
35;Caceres;0;0;0;199779
36;Cadiz;0;1248970;0;0
37;Cadiz;0;0;620722;0
38;Cadiz;0;0;0;628249
39;Cantabria;0;581490;0;0
40;Cantabria;0;0;283971;0
41;Cantabria;0;0;0;297519
42;Castellon;0;570183;0;0
43;Castellon;0;0;283169;0
44;Castellon;0;0;0;287014
45;Ciudad_Real;0;504125;0;0
46;Ciudad_Real;0;0;249893;0
47;Ciudad_Real;0;0;0;254232
48;Cordoba;0;789992;0;0
49;Cordoba;0;0;387970;0
50;Cordoba;0;0;0;402021
51;Coru?a;0;1121770;0;0
52;Coru?a;0;0;539064;0
53;Coru?a;0;0;0;582706
54;Cuenca;0;202045;0;0
55;Cuenca;0;0;102233;0
56;Cuenca;0;0;0;99812
57;Gipuzkoa;0;708991;0;0
58;Gipuzkoa;0;0;344841;0
59;Gipuzkoa;0;0;0;364150
60;Girona;0;745258;0;0
61;Girona;0;0;371578;0
62;Girona;0;0;0;373680
63;Granada;0;917057;0;0
64;Granada;0;0;454447;0
65;Granada;0;0;0;462610
66;Guadalajara;0;255336;0;0
67;Guadalajara;0;0;129662;0
68;Guadalajara;0;0;0;125675
69;Huelva;0;521117;0;0
70;Huelva;0;0;258029;0
71;Huelva;0;0;0;263088
72;Huesca;0;219677;0;0
73;Huesca;0;0;111015;0
74;Huesca;0;0;0;108662
75;Jaen;0;641826;0;0
76;Jaen;0;0;318794;0
77;Jaen;0;0;0;323033
78;Leon;0;470341;0;0
79;Leon;0;0;229446;0
80;Leon;0;0;0;240896
81;Lleida;0;428903;0;0
82;Lleida;0;0;217001;0
83;Lleida;0;0;0;211902
84;Lugo;0;333610;0;0
85;Lugo;0;0;162077;0
86;Lugo;0;0;0;171533
87;Madrid;0;6476838;0;0
88;Madrid;0;0;3108852;0
89;Madrid;0;0;0;3367986
90;Malaga;0;1646777;0;0
91;Malaga;0;0;810507;0
92;Malaga;0;0;0;836270
93;Murcia;0;1472991;0;0
94;Murcia;0;0;737988;0
95;Murcia;0;0;0;735003
96;Navarra;0;640353;0;0
97;Navarra;0;0;316996;0
98;Navarra;0;0;0;323357
99;Ourense;0;311578;0;0
100;Ourense;0;0;150333;0
101;Ourense;0;0;0;161246
102;Palencia;0;163014;0;0
103;Palencia;0;0;80786;0
104;Palencia;0;0;0;82227
105;Palmas;0;1119168;0;0
106;Palmas;0;0;558353;0
107;Palmas;0;0;0;560816
108;Pontevedra;0;943257;0;0
109;Pontevedra;0;0;458006;0
110;Pontevedra;0;0;0;485251
111;Rioja;0;312624;0;0
112;Rioja;0;0;154292;0
113;Rioja;0;0;0;158333
114;Salamanca;0;336102;0;0
115;Salamanca;0;0;163927;0
116;Salamanca;0;0;0;172175
117;Santa_Cruz_de_Tenerife;0;1035809;0;0
118;Santa_Cruz_de_Tenerife;0;0;512283;0
119;Santa_Cruz_de_Tenerife;0;0;0;523526
120;Segovia;0;155311;0;0
121;Segovia;0;0;78374;0
122;Segovia;0;0;0;76937
123;Sevilla;0;1943190;0;0
124;Sevilla;0;0;951488;0
125;Sevilla;0;0;0;991702
126;Soria;0;90016;0;0
127;Soria;0;0;45696;0
128;Soria;0;0;0;44321
129;Tarragona;0;792641;0;0
130;Tarragona;0;0;395692;0
131;Tarragona;0;0;0;396949
132;Teruel;0;134877;0;0
133;Teruel;0;0;68367;0
134;Teruel;0;0;0;66510
135;Toledo;0;687892;0;0
136;Toledo;0;0;347805;0
137;Toledo;0;0;0;340087
138;Valencia;0;2522383;0;0
139;Valencia;0;0;1236769;0
140;Valencia;0;0;0;1285614
141;Valladolid;0;523215;0;0
142;Valladolid;0;0;255855;0
143;Valladolid;0;0;0;267361
144;Zamora;0;178566;0;0
145;Zamora;0;0;88751;0
146;Zamora;0;0;0;89815
147;Zaragoza;0;961518;0;0
148;Zaragoza;0;0;471407;0
149;Zaragoza;0;0;0;490111
150;Ceuta;0;85034;0;0
151;Ceuta;0;0;43209;0
152;Ceuta;0;0;0;41825
153;Melilla;0;84946;0;0
154;Melilla;0;0;43080;0
155;Melilla;0;0;0;41866
156;Nacional;1;409900;0;0
157;Nacional;1;0;210606;0
158;Nacional;1;0;0;199294
159;Albacete;1;3372;0;0
160;Albacete;1;0;1751;0
161;Albacete;1;0;0;1621
162;Alicante;1;15364;0;0
163;Alicante;1;0;8005;0
164;Alicante;1;0;0;7358
165;Almeria;1;7826;0;0
166;Almeria;1;0;3941;0
167;Almeria;1;0;0;3885
168;Alava;1;3080;0;0
169;Alava;1;0;1549;0
170;Alava;1;0;0;1531
171;Asturias;1;6360;0;0
172;Asturias;1;0;3195;0
173;Asturias;1;0;0;3164
174;Avila;1;1150;0;0
175;Avila;1;0;603;0
176;Avila;1;0;0;547
177;Badajoz;1;5869;0;0
178;Badajoz;1;0;3035;0
179;Badajoz;1;0;0;2834
180;Balears_Illes;1;10658;0;0
181;Balears_Illes;1;0;5453;0
182;Balears_Illes;1;0;0;5205
183;Barcelona;1;50893;0;0
184;Barcelona;1;0;26138;0
185;Barcelona;1;0;0;24756
186;Bizkaia;1;9156;0;0
187;Bizkaia;1;0;4690;0
188;Bizkaia;1;0;0;4466
189;Burgos;1;2663;0;0
190;Burgos;1;0;1385;0
191;Burgos;1;0;0;1277
192;Caceres;1;2908;0;0
193;Caceres;1;0;1500;0
194;Caceres;1;0;0;1408
195;Cadiz;1;11831;0;0
196;Cadiz;1;0;6072;0
197;Cadiz;1;0;0;5759
198;Cantabria;1;4248;0;0
199;Cantabria;1;0;2214;0
200;Cantabria;1;0;0;2033
201;Castellon;1;5130;0;0
202;Castellon;1;0;2598;0
203;Castellon;1;0;0;2531
204;Ciudad_Real;1;4266;0;0
205;Ciudad_Real;1;0;2185;0
206;Ciudad_Real;1;0;0;2080
207;Cordoba;1;6911;0;0
208;Cordoba;1;0;3535;0
209;Cordoba;1;0;0;3377
210;Coru?a;1;8351;0;0
211;Coru?a;1;0;4248;0
212;Coru?a;1;0;0;4104
213;Cuenca;1;1512;0;0
214;Cuenca;1;0;776;0
215;Cuenca;1;0;0;736
216;Gipuzkoa;1;6029;0;0
217;Gipuzkoa;1;0;3084;0
218;Gipuzkoa;1;0;0;2945
219;Girona;1;7193;0;0
220;Girona;1;0;3700;0
221;Girona;1;0;0;3493
222;Granada;1;8658;0;0
223;Granada;1;0;4530;0
224;Granada;1;0;0;4128
225;Guadalajara;1;2362;0;0
226;Guadalajara;1;0;1209;0
227;Guadalajara;1;0;0;1153
228;Huelva;1;4746;0;0
229;Huelva;1;0;2443;0
230;Huelva;1;0;0;2303
231;Huesca;1;1716;0;0
232;Huesca;1;0;886;0
233;Huesca;1;0;0;829
234;Jaen;1;5343;0;0
235;Jaen;1;0;2797;0
236;Jaen;1;0;0;2546
237;Leon;1;2871;0;0
238;Leon;1;0;1499;0
239;Leon;1;0;0;1372
240;Lleida;1;3864;0;0
241;Lleida;1;0;1957;0
242;Lleida;1;0;0;1907
243;Lugo;1;2106;0;0
244;Lugo;1;0;1055;0
245;Lugo;1;0;0;1051
246;Madrid;1;63329;0;0
247;Madrid;1;0;32462;0
248;Madrid;1;0;0;30867
249;Malaga;1;15026;0;0
250;Malaga;1;0;7782;0
251;Malaga;1;0;0;7244
252;Murcia;1;15538;0;0
253;Murcia;1;0;8025;0
254;Murcia;1;0;0;7513
255;Navarra;1;5927;0;0
256;Navarra;1;0;3031;0
257;Navarra;1;0;0;2896
258;Ourense;1;1780;0;0
259;Ourense;1;0;945;0
260;Ourense;1;0;0;835
261;Palencia;1;1047;0;0
262;Palencia;1;0;532;0
263;Palencia;1;0;0;515
264;Palmas;1;8661;0;0
265;Palmas;1;0;4455;0
266;Palmas;1;0;0;4206
267;Pontevedra;1;6841;0;0
268;Pontevedra;1;0;3534;0
269;Pontevedra;1;0;0;3307
270;Rioja;1;2670;0;0
271;Rioja;1;0;1388;0
272;Rioja;1;0;0;1282
273;Salamanca;1;2243;0;0
274;Salamanca;1;0;1148;0
275;Salamanca;1;0;0;1096
276;Santa_Cruz_de_Tenerife;1;7606;0;0
277;Santa_Cruz_de_Tenerife;1;0;3842;0
278;Santa_Cruz_de_Tenerife;1;0;0;3764
279;Segovia;1;1145;0;0
280;Segovia;1;0;602;0
281;Segovia;1;0;0;543
282;Sevilla;1;19050;0;0
283;Sevilla;1;0;9828;0
284;Sevilla;1;0;0;9222
285;Soria;1;635;0;0
286;Soria;1;0;321;0
287;Soria;1;0;0;314
288;Tarragona;1;7259;0;0
289;Tarragona;1;0;3739;0
290;Tarragona;1;0;0;3520
291;Teruel;1;1060;0;0
292;Teruel;1;0;530;0
293;Teruel;1;0;0;530
294;Toledo;1;6320;0;0
295;Toledo;1;0;3258;0
296;Toledo;1;0;0;3062
297;Valencia;1;21696;0;0
298;Valencia;1;0;11133;0
299;Valencia;1;0;0;10563
300;Valladolid;1;4020;0;0
301;Valladolid;1;0;2067;0
302;Valladolid;1;0;0;1953
303;Zamora;1;937;0;0
304;Zamora;1;0;487;0
305;Zamora;1;0;0;450
306;Zaragoza;1;8170;0;0
307;Zaragoza;1;0;4171;0
308;Zaragoza;1;0;0;3999
309;Ceuta;1;1062;0;0
310;Ceuta;1;0;561;0
311;Ceuta;1;0;0;501
312;Melilla;1;1447;0;0
313;Melilla;1;0;733;0
314;Melilla;1;0;0;714
315;Nacional;2;423504;0;0
316;Nacional;2;0;218042;0
317;Nacional;2;0;0;205462
318;Albacete;2;3487;0;0
319;Albacete;2;0;1823;0
320;Albacete;2;0;0;1664
321;Alicante;2;16284;0;0
322;Alicante;2;0;8463;0
323;Alicante;2;0;0;7821
324;Almeria;2;7997;0;0
325;Almeria;2;0;4138;0
326;Almeria;2;0;0;3859
327;Alava;2;3199;0;0
328;Alava;2;0;1653;0
329;Alava;2;0;0;1546
330;Asturias;2;6507;0;0
331;Asturias;2;0;3403;0
332;Asturias;2;0;0;3104
333;Avila;2;1128;0;0
334;Avila;2;0;574;0
335;Avila;2;0;0;554
336;Badajoz;2;5926;0;0
337;Badajoz;2;0;3085;0
338;Badajoz;2;0;0;2841
339;Balears_Illes;2;10823;0;0
340;Balears_Illes;2;0;5547;0
341;Balears_Illes;2;0;0;5276
342;Barcelona;2;52177;0;0
343;Barcelona;2;0;26972;0
344;Barcelona;2;0;0;25205
345;Bizkaia;2;9397;0;0
346;Bizkaia;2;0;4936;0
347;Bizkaia;2;0;0;4461
348;Burgos;2;2794;0;0
349;Burgos;2;0;1410;0
350;Burgos;2;0;0;1384
351;Caceres;2;2968;0;0
352;Caceres;2;0;1533;0
353;Caceres;2;0;0;1435
354;Cadiz;2;11867;0;0
355;Cadiz;2;0;6126;0
356;Cadiz;2;0;0;5741
357;Cantabria;2;4415;0;0
358;Cantabria;2;0;2180;0
359;Cantabria;2;0;0;2236
360;Castellon;2;5182;0;0
361;Castellon;2;0;2655;0
362;Castellon;2;0;0;2527
363;Ciudad_Real;2;4326;0;0
364;Ciudad_Real;2;0;2146;0
365;Ciudad_Real;2;0;0;2179
366;Cordoba;2;7085;0;0
367;Cordoba;2;0;3605;0
368;Cordoba;2;0;0;3480
369;Coru?a;2;8485;0;0
370;Coru?a;2;0;4359;0
371;Coru?a;2;0;0;4126
372;Cuenca;2;1551;0;0
373;Cuenca;2;0;779;0
374;Cuenca;2;0;0;772
375;Gipuzkoa;2;6420;0;0
376;Gipuzkoa;2;0;3209;0
377;Gipuzkoa;2;0;0;3211
378;Girona;2;7659;0;0
379;Girona;2;0;3998;0
380;Girona;2;0;0;3660
381;Granada;2;8656;0;0
382;Granada;2;0;4492;0
383;Granada;2;0;0;4164
384;Guadalajara;2;2513;0;0
385;Guadalajara;2;0;1260;0
386;Guadalajara;2;0;0;1253
387;Huelva;2;5025;0;0
388;Huelva;2;0;2593;0
389;Huelva;2;0;0;2432
390;Huesca;2;1898;0;0
391;Huesca;2;0;963;0
392;Huesca;2;0;0;935
393;Jaen;2;5438;0;0
394;Jaen;2;0;2812;0
395;Jaen;2;0;0;2626
396;Leon;2;3032;0;0
397;Leon;2;0;1601;0
398;Leon;2;0;0;1432
399;Lleida;2;4053;0;0
400;Lleida;2;0;2091;0
401;Lleida;2;0;0;1962
402;Lugo;2;2187;0;0
403;Lugo;2;0;1143;0
404;Lugo;2;0;0;1043
405;Madrid;2;65649;0;0
406;Madrid;2;0;33748;0
407;Madrid;2;0;0;31900
408;Malaga;2;15600;0;0
409;Malaga;2;0;8039;0
410;Malaga;2;0;0;7561
411;Murcia;2;16062;0;0
412;Murcia;2;0;8210;0
413;Murcia;2;0;0;7852
414;Navarra;2;6114;0;0
415;Navarra;2;0;3134;0
416;Navarra;2;0;0;2981
417;Ourense;2;1862;0;0
418;Ourense;2;0;953;0
419;Ourense;2;0;0;909
420;Palencia;2;1171;0;0
